start_s,end_s,duration_s,label
0.000000,0.130000,0.130000,i
0.130000,0.170000,0.040000,n
0.170000,0.210000,0.040000,n
0.210000,0.310000,0.100000,aj
0.310000,0.340000,0.030000,n
0.340000,0.420000,0.080000,ʈ
0.420000,0.480000,0.060000,iː
0.480000,0.540000,0.060000,n
0.540000,0.630000,0.090000,s
0.630000,0.700000,0.070000,ɛ
0.700000,0.740000,0.040000,v
0.740000,0.780000,0.040000,ə
0.780000,0.810000,0.030000,n
0.810000,0.840000,0.030000,tʲ
0.840000,0.910000,0.070000,i
0.910000,1.050000,0.140000,s
1.050000,1.180000,0.130000,i
1.180000,1.290000,0.110000,k
1.290000,1.380000,0.090000,s
1.380000,1.560000,0.180000,d
1.560000,1.620000,0.060000,ɛ
1.620000,1.660000,0.040000,m
1.660000,1.700000,0.040000,ɔ
1.700000,1.790000,0.090000,k
1.790000,1.830000,0.040000,ɹ
1.830000,1.910000,0.080000,a
1.910000,1.940000,0.030000,tʲ
1.940000,2.000000,0.060000,i
2.000000,2.050000,0.050000,k
2.050000,2.110000,0.060000,ɡ
2.110000,2.180000,0.070000,ɐ
2.180000,2.230000,0.050000,v
2.230000,2.280000,0.050000,ə
2.280000,2.310000,0.030000,n
2.310000,2.410000,0.100000,ə
2.410000,2.470000,0.060000,m
2.470000,2.580000,0.110000,aj
2.580000,2.660000,0.080000,k
2.660000,2.690000,0.030000,ə
2.690000,2.750000,0.060000,l
2.750000,3.350000,0.600000,spn
3.630000,3.690000,0.060000,f
3.690000,3.740000,0.050000,ə
3.740000,3.840000,0.100000,fʲ
3.840000,3.890000,0.050000,ɪ
3.890000,3.980000,0.090000,ɫ
3.980000,4.060000,0.080000,d
4.060000,4.120000,0.060000,a
4.120000,4.240000,0.120000,cʰ
4.240000,4.360000,0.120000,æ
4.360000,4.390000,0.030000,m
4.390000,4.480000,0.090000,pʰ
4.480000,4.620000,0.140000,ej
4.620000,4.670000,0.050000,n
4.670000,4.760000,0.090000,p
4.760000,4.810000,0.050000,ɹ
4.810000,4.910000,0.100000,ɑ
4.910000,4.960000,0.050000,mʲ
4.960000,5.070000,0.110000,ɪ
5.070000,5.220000,0.150000,s
5.290000,5.410000,0.120000,ə
5.410000,5.540000,0.130000,d
5.540000,5.570000,0.030000,ə
5.570000,6.520000,0.950000,spn
6.520000,6.630000,0.110000,dʒ
6.630000,6.670000,0.040000,u
6.670000,6.750000,0.080000,dʲ
6.750000,6.810000,0.060000,i
6.810000,6.920000,0.110000,ʃ
6.920000,6.960000,0.040000,a
6.960000,7.050000,0.090000,ɫ
7.050000,7.080000,0.030000,a
7.080000,7.200000,0.120000,pʰ
7.200000,7.320000,0.120000,ɔj
7.320000,7.350000,0.030000,n
7.350000,7.380000,0.030000,t
7.380000,7.420000,0.040000,m
7.420000,7.490000,0.070000,ɛ
7.490000,7.520000,0.030000,n
7.520000,7.580000,0.060000,t
7.580000,7.760000,0.180000,s
7.790000,8.100000,0.310000,ç
8.100000,8.160000,0.060000,i
8.160000,8.210000,0.050000,n
8.210000,8.350000,0.140000,e
8.350000,8.420000,0.070000,m
8.420000,8.500000,0.080000,d
8.500000,8.550000,0.050000,ɹ
8.550000,8.620000,0.070000,ɪ
8.620000,8.720000,0.100000,p
8.720000,8.800000,0.080000,ə
8.800000,8.830000,0.030000,b
8.830000,8.930000,0.100000,ʎ
8.930000,8.970000,0.040000,ɪ
8.970000,9.040000,0.070000,k
9.040000,9.130000,0.090000,ə
9.130000,9.180000,0.050000,n
9.180000,9.350000,0.170000,ɛ
9.350000,9.400000,0.050000,d
9.400000,9.450000,0.050000,w
9.450000,9.500000,0.050000,a
9.500000,9.550000,0.050000,d
9.550000,9.630000,0.080000,h
9.630000,9.680000,0.050000,ɛ
9.680000,9.720000,0.040000,n
9.720000,9.790000,0.070000,ə
9.790000,9.940000,0.150000,s
9.940000,10.110000,0.170000,i
10.220000,10.270000,0.050000,ə
10.270000,10.360000,0.090000,h
10.360000,10.460000,0.100000,ɛ
10.460000,10.520000,0.060000,d
10.520000,10.570000,0.050000,ð
10.570000,10.600000,0.030000,a
10.600000,10.730000,0.130000,s
10.730000,10.780000,0.050000,t
10.780000,10.900000,0.120000,e
10.900000,10.960000,0.060000,t
10.960000,11.050000,0.090000,s
11.050000,11.080000,0.030000,j
11.080000,11.110000,0.030000,uː
11.110000,11.210000,0.100000,p
11.210000,11.260000,0.050000,ɹ
11.260000,11.350000,0.090000,iː
11.350000,11.420000,0.070000,m
11.420000,11.500000,0.080000,dʒ
11.500000,11.530000,0.030000,u
11.530000,11.610000,0.080000,dʲ
11.610000,11.670000,0.060000,i
11.670000,11.780000,0.110000,ʃ
11.780000,11.820000,0.040000,a
11.820000,11.860000,0.040000,ɫ
11.860000,12.050000,0.190000,k
12.050000,12.190000,0.140000,ɒː
12.190000,12.230000,0.040000,ʈ
13.030000,13.150000,0.120000,f
13.150000,13.190000,0.040000,a
13.190000,13.260000,0.070000,h
13.260000,13.310000,0.050000,ɛ
13.310000,13.340000,0.030000,n
13.340000,13.410000,0.070000,ə
13.410000,13.520000,0.110000,s
13.520000,13.610000,0.090000,i
13.610000,13.640000,0.030000,i
13.640000,13.700000,0.060000,t
13.700000,13.750000,0.050000,ʋ
13.750000,13.820000,0.070000,ɒ
13.820000,13.890000,0.070000,z
13.890000,13.940000,0.050000,a
13.940000,14.010000,0.070000,n
14.010000,14.080000,0.070000,ɐ
14.080000,14.120000,0.040000,ð
14.120000,14.200000,0.080000,ə
14.200000,14.340000,0.140000,s
14.340000,14.410000,0.070000,t
14.410000,14.560000,0.150000,ɛ
14.560000,14.690000,0.130000,p
14.690000,14.720000,0.030000,a
14.720000,14.810000,0.090000,l
14.810000,14.920000,0.110000,ɔ
14.920000,14.960000,0.040000,ŋ
14.960000,14.990000,0.030000,ɡ
14.990000,15.050000,0.060000,a
15.050000,15.150000,0.100000,dʲ
15.150000,15.180000,0.030000,i
15.180000,15.290000,0.110000,s
15.290000,15.340000,0.050000,tʲ
15.340000,15.400000,0.060000,i
15.400000,15.450000,0.050000,ɲ
15.450000,15.530000,0.080000,ɟʷ
15.530000,15.560000,0.030000,i
15.560000,15.670000,0.110000,ʃ
15.670000,15.710000,0.040000,t
15.710000,15.770000,0.060000,k
15.770000,15.810000,0.040000,ə
15.810000,15.900000,0.090000,ɹ
15.900000,15.980000,0.080000,ɪ
15.980000,16.090000,0.110000,ə
16.460000,16.560000,0.100000,æ
16.560000,16.600000,0.040000,t
16.600000,16.640000,0.040000,b
16.640000,16.720000,0.080000,ɛ
16.720000,16.810000,0.090000,ɡ
16.810000,16.980000,0.170000,a
16.980000,17.020000,0.040000,n
17.020000,17.090000,0.070000,a
17.090000,17.170000,0.080000,s
17.170000,17.220000,0.050000,a
17.220000,17.350000,0.130000,t
17.350000,17.400000,0.050000,ɹ
17.400000,17.520000,0.120000,aj
17.520000,17.560000,0.040000,a
17.560000,17.630000,0.070000,ɫ
17.630000,17.710000,0.080000,l
17.710000,17.800000,0.090000,ɒː
17.800000,17.870000,0.070000,j
17.870000,18.070000,0.200000,ə
18.160000,18.260000,0.100000,a
18.260000,18.290000,0.030000,n
18.290000,18.320000,0.030000,ɛ
18.320000,18.410000,0.090000,ʎ
18.410000,18.460000,0.050000,iː
18.460000,18.490000,0.030000,dʲ
18.490000,18.520000,0.030000,iː
18.550000,18.660000,0.110000,ə
18.660000,18.690000,0.030000,a
18.690000,18.730000,0.040000,n
18.730000,18.800000,0.070000,a
18.800000,18.920000,0.120000,pʰ
18.920000,19.030000,0.110000,ɔj
19.030000,19.060000,0.030000,n
