file,tier,label,start_s,end_s,duration_s
F2BJRLP2,words,in,0.0,0.17,0.17
F2BJRLP2,words,nineteen,0.17,0.54,0.37
F2BJRLP2,words,seventy,0.54,0.91,0.37
F2BJRLP2,words,six,0.91,1.38,0.46999999999999986
F2BJRLP2,words,democratic,1.38,2.05,0.6699999999999999
F2BJRLP2,words,governor,2.05,2.41,0.3600000000000003
F2BJRLP2,words,michael,2.41,2.75,0.33999999999999986
F2BJRLP2,words,<unk>,2.75,3.35,0.6000000000000001
F2BJRLP2,words,fulfilled,3.63,4.06,0.4299999999999997
F2BJRLP2,words,a,4.06,4.12,0.0600000000000005
F2BJRLP2,words,campaign,4.12,4.67,0.5499999999999998
F2BJRLP2,words,promise,4.67,5.22,0.5499999999999998
F2BJRLP2,words,to,5.29,5.41,0.1200000000000001
F2BJRLP2,words,de,5.41,5.57,0.16000000000000014
F2BJRLP2,words,politicize,5.57,6.52,0.9499999999999993
F2BJRLP2,words,judicial,6.52,7.05,0.5300000000000002
F2BJRLP2,words,appointments,7.05,7.76,0.71
F2BJRLP2,words,he,7.79,8.16,0.3700000000000001
F2BJRLP2,words,named,8.16,8.5,0.33999999999999986
F2BJRLP2,words,republican,8.5,9.18,0.6799999999999997
F2BJRLP2,words,edward,9.18,9.55,0.370000000000001
F2BJRLP2,words,hennessy,9.55,10.11,0.5599999999999987
F2BJRLP2,words,to,10.22,10.27,0.049999999999998934
F2BJRLP2,words,head,10.27,10.52,0.25
F2BJRLP2,words,the,10.52,10.6,0.08000000000000007
F2BJRLP2,words,state,10.6,10.96,0.3600000000000012
F2BJRLP2,words,supreme,10.96,11.42,0.4599999999999991
F2BJRLP2,words,judicial,11.42,11.86,0.4399999999999995
F2BJRLP2,words,court,11.86,12.23,0.370000000000001
F2BJRLP2,words,for,13.03,13.19,0.16000000000000014
F2BJRLP2,words,hennessy,13.19,13.61,0.41999999999999993
F2BJRLP2,words,it,13.61,13.7,0.08999999999999986
F2BJRLP2,words,was,13.7,13.89,0.19000000000000128
F2BJRLP2,words,another,13.89,14.2,0.3099999999999987
F2BJRLP2,words,step,14.2,14.69,0.4900000000000002
F2BJRLP2,words,along,14.69,14.99,0.3000000000000007
F2BJRLP2,words,a,14.99,15.05,0.0600000000000005
F2BJRLP2,words,distinguished,15.05,15.71,0.6600000000000001
F2BJRLP2,words,career,15.71,16.09,0.379999999999999
F2BJRLP2,words,that,16.46,16.6,0.14000000000000057
F2BJRLP2,words,began,16.6,17.02,0.41999999999999815
F2BJRLP2,words,as,17.02,17.17,0.15000000000000213
F2BJRLP2,words,a,17.17,17.22,0.04999999999999716
F2BJRLP2,words,trial,17.22,17.63,0.41000000000000014
F2BJRLP2,words,lawyer,17.63,18.07,0.4400000000000013
F2BJRLP2,words,and,18.16,18.29,0.129999999999999
F2BJRLP2,words,led,18.29,18.52,0.23000000000000043
F2BJRLP2,words,to,18.55,18.66,0.10999999999999943
F2BJRLP2,words,an,18.66,18.73,0.07000000000000028
F2BJRLP2,words,appointment,18.73,19.3,0.5700000000000003
F2BJRLP2,words,as,19.3,19.49,0.18999999999999773
F2BJRLP2,words,associate,19.49,20.13,0.6400000000000006
F2BJRLP2,words,supreme,20.13,20.54,0.41000000000000014
F2BJRLP2,words,court,20.54,20.8,0.26000000000000156
F2BJRLP2,words,justice,20.8,21.31,0.509999999999998
F2BJRLP2,words,in,21.31,21.49,0.17999999999999972
F2BJRLP2,words,nineteen,21.49,21.89,0.40000000000000213
F2BJRLP2,words,seventy,21.89,22.3,0.41000000000000014
F2BJRLP2,words,one,22.3,22.65,0.34999999999999787
F2BJRLP2,words,that,23.17,23.35,0.17999999999999972
F2BJRLP2,words,year,23.35,23.51,0.16000000000000014
F2BJRLP2,words,thomas,23.51,23.93,0.41999999999999815
F2BJRLP2,words,maffy,23.93,24.34,0.41000000000000014
F2BJRLP2,words,now,24.34,24.52,0.17999999999999972
F2BJRLP2,words,president,24.52,25.06,0.5399999999999991
F2BJRLP2,words,of,25.06,25.12,0.060000000000002274
F2BJRLP2,words,the,25.12,25.22,0.09999999999999787
F2BJRLP2,words,massachusetts,25.22,25.86,0.6400000000000006
F2BJRLP2,words,bar,25.86,26.09,0.23000000000000043
F2BJRLP2,words,association,26.09,26.86,0.7699999999999996
F2BJRLP2,words,was,27.19,27.35,0.16000000000000014
F2BJRLP2,words,hennessy's,27.35,27.81,0.4599999999999973
F2BJRLP2,words,law,27.81,28.01,0.20000000000000284
F2BJRLP2,words,clerk,28.01,28.29,0.2799999999999976
F2BJRLP3,words,the,0.21,0.41,0.19999999999999998
F2BJRLP3,words,author,0.41,0.67,0.26000000000000006
F2BJRLP3,words,of,0.67,0.87,0.19999999999999996
F2BJRLP3,words,more,0.87,1.06,0.19000000000000006
F2BJRLP3,words,than,1.06,1.26,0.19999999999999996
F2BJRLP3,words,eight,1.26,1.4,0.1399999999999999
F2BJRLP3,words,hundred,1.4,1.79,0.3900000000000001
F2BJRLP3,words,state,1.79,2.04,0.25
F2BJRLP3,words,supreme,2.04,2.36,0.31999999999999984
F2BJRLP3,words,court,2.36,2.59,0.22999999999999998
F2BJRLP3,words,opinions,2.59,3.17,0.5800000000000001
F2BJRLP3,words,hennessy,3.49,3.89,0.3999999999999999
F2BJRLP3,words,is,3.89,4.04,0.1499999999999999
F2BJRLP3,words,widely,4.04,4.44,0.40000000000000036
F2BJRLP3,words,respected,4.44,5.09,0.6499999999999995
F2BJRLP3,words,for,5.09,5.27,0.17999999999999972
F2BJRLP3,words,his,5.27,5.48,0.21000000000000085
F2BJRLP3,words,legal,5.48,5.73,0.25
F2BJRLP3,words,scholarship,5.73,6.4,0.6699999999999999
F2BJRLP3,words,and,6.49,6.63,0.13999999999999968
F2BJRLP3,words,his,6.63,6.85,0.21999999999999975
F2BJRLP3,words,administrative,6.85,7.49,0.6400000000000006
F2BJRLP3,words,abilities,7.49,8.14,0.6500000000000004
F2BJRLP3,words,admirers,8.53,9.28,0.75
F2BJRLP3,words,give,9.28,9.51,0.23000000000000043
F2BJRLP3,words,hennessy,9.51,10.0,0.4900000000000002
F2BJRLP3,words,much,10.0,10.23,0.23000000000000043
F2BJRLP3,words,of,10.23,10.3,0.07000000000000028
F2BJRLP3,words,the,10.3,10.38,0.08000000000000007
F2BJRLP3,words,credit,10.38,10.73,0.34999999999999964
F2BJRLP3,words,for,11.0,11.16,0.16000000000000014
F2BJRLP3,words,sweeping,11.16,11.6,0.4399999999999995
F2BJRLP3,words,court,11.6,11.86,0.2599999999999998
F2BJRLP3,words,reform,11.86,12.45,0.5899999999999999
F2BJRLP3,words,that,12.45,12.55,0.10000000000000142
F2BJRLP3,words,began,12.55,12.88,0.33000000000000007
F2BJRLP3,words,a,12.88,12.94,0.05999999999999872
F2BJRLP3,words,decade,12.94,13.32,0.3800000000000008
F2BJRLP3,words,ago,13.32,13.76,0.4399999999999995
F2BJRLP3,words,and,13.86,14.03,0.16999999999999993
F2BJRLP3,words,for,14.03,14.16,0.13000000000000078
F2BJRLP3,words,last,14.16,14.54,0.379999999999999
F2BJRLP3,words,year's,14.54,14.81,0.27000000000000135
F2BJRLP3,words,legislative,14.81,15.4,0.5899999999999999
F2BJRLP3,words,approval,15.4,15.92,0.5199999999999996
F2BJRLP3,words,of,16.06,16.19,0.13000000000000256
F2BJRLP3,words,thirty,16.31,16.55,0.240000000000002
F2BJRLP3,words,five,16.55,16.93,0.379999999999999
F2BJRLP3,words,new,16.93,17.1,0.1700000000000017
F2BJRLP3,words,<unk>,17.1,17.73,0.629999999999999
F2BJRLP3,words,and,18.03,18.2,0.16999999999999815
F2BJRLP3,words,three,18.2,18.43,0.23000000000000043
F2BJRLP3,words,hundred,18.43,18.79,0.35999999999999943
F2BJRLP3,words,million,18.79,19.13,0.33999999999999986
F2BJRLP3,words,dollars,19.13,19.61,0.4800000000000004
F2BJRLP3,words,to,19.65,19.71,0.060000000000002274
F2BJRLP3,words,restore,19.71,20.28,0.5700000000000003
F2BJRLP3,words,crumbling,20.28,20.8,0.5199999999999996
F2BJRLP3,words,court,20.8,21.08,0.2799999999999976
F2BJRLP3,words,houses,21.08,21.63,0.5500000000000007
F2BJRLP3,words,despite,22.18,22.59,0.41000000000000014
F2BJRLP3,words,the,22.59,22.66,0.07000000000000028
F2BJRLP3,words,state's,22.66,23.03,0.370000000000001
F2BJRLP3,words,massive,23.03,23.45,0.41999999999999815
F2BJRLP3,words,budget,23.45,23.87,0.4200000000000017
F2BJRLP3,words,deficit,23.87,24.43,0.5599999999999987
F2BJRLP3,words,hennessy,24.8,25.17,0.370000000000001
F2BJRLP3,words,recently,25.17,25.61,0.4399999999999977
F2BJRLP3,words,urged,25.61,25.92,0.3100000000000023
F2BJRLP3,words,colleagues,25.92,26.34,0.41999999999999815
F2BJRLP3,words,in,26.34,26.43,0.08999999999999986
F2BJRLP3,words,the,26.43,26.49,0.05999999999999872
F2BJRLP3,words,bar,26.49,26.74,0.25
